date,artist,album,year
"Wednesday Apr 2, 2025 1:00 AM","Masayoshi Takanaka","Seychelles",1976
"Wednesday Apr 2, 2025 3:00 AM","Tom Petty","Wildflowers",1994
"Thursday Apr 3, 2025 1:00 AM","Philip Glass","Koyaanisqatsi",1983
"Thursday Apr 3, 2025 3:00 AM","Spiritualized","Ladies and Gentlemen We Are Floating In Space",1997
"Friday Apr 4, 2025 12:00 AM","Air","Moon Safari",1998
"Friday Apr 4, 2025 1:00 AM","XTC","Skylarking",1986
"Friday Apr 4, 2025 2:30 AM","Mars Volta","Frances the Mute",2005
"Friday Apr 4, 2025 4:00 AM","Madonna","Ray of Light",1998
"Saturday Apr 5, 2025 12:00 AM","Quem É Quem","João Donato",1973
"Saturday Apr 5, 2025 1:00 AM","Beastie Boys","Ill Communication",1994
"Saturday Apr 5, 2025 2:30 AM","MC Solaar","Paradisiaque",2007
"Saturday Apr 5, 2025 4:00 AM","Tame Impala","Currents",2015
"Saturday Apr 5, 2025 9:00 PM","Allman Brothers Band","Eat A Peach",1972
"Sunday Apr 6, 2025 12:00 AM","Alice Coltrane","Journey In Satchidananda",1971
"Sunday Apr 6, 2025 1:00 AM","John Coltrane","A Love Supreme",1965
"Sunday Apr 6, 2025 4:00 AM","Frank Ocean","Channel Orange",2013
"Wednesday Apr 9, 2025 1:00 AM","Rolling Stones","Let It Bleed",1969
"Wednesday Apr 9, 2025 3:00 AM","Oasis","What's The Story Morning Glory?",1995
"Thursday Apr 10, 2025 1:00 AM","Björk","Post",1995
"Thursday Apr 10, 2025 3:00 AM","Radiohead","Kid A",2000
"Friday Apr 11, 2025 1:00 AM","Faye Webster","Undressed At The Symphony",2024
"Friday Apr 11, 2025 2:30 AM","Fugees","The Score",1996
"Friday Apr 11, 2025 4:00 AM","Tyler, The Creator","Goblin",2011
"Saturday Apr 12, 2025 12:00 AM","Ray Charles","Genius + Soul = Jazz",1961
"Saturday Apr 12, 2025 1:00 AM","Fela Kuti","Expensive Shit",1975
"Saturday Apr 12, 2025 2:30 AM","Taylor Swift","Fearless (Taylor's Version)",2021
"Saturday Apr 12, 2025 4:00 AM","MF Doom","Born Like This",2009
"Saturday Apr 12, 2025 9:00 PM","Nina Simone","I Put A Spell On You",1965
"Saturday Apr 12, 2025 10:30 PM","Frank Ocean","Blonde",2016
"Sunday Apr 13, 2025 12:00 AM","Chappell Roan","The Rise and Fall of A Midwest Princess",2023
"Sunday Apr 13, 2025 1:00 AM","Doechii","Alligator Bites Never Heal",2024
"Sunday Apr 13, 2025 2:30 AM","Lana Del Rey","Norman Fucking Rockwell",2019
"Sunday Apr 13, 2025 4:00 AM","Beyoncé","Lemonade",2016
"Wednesday Apr 16, 2025 1:00 AM","Robert Johnson","King of the Delta Blues Singers",1961
"Wednesday Apr 16, 2025 3:00 AM","Wilco","Yankee Hotel Foxtrot",2002
"Thursday Apr 17, 2025 1:00 AM","Santana","Abraxas",1970
"Thursday Apr 17, 2025 3:00 AM","Odesza","A Moment Apart",2017
"Friday Apr 18, 2025 12:00 AM","Neil Young","Harvest Moon",1992
