date,artist,album,year
"Friday Apr 18, 2025 1:00 AM","Seal","Seal",1991
"Friday Apr 18, 2025 2:30 AM","Marvin Gaye","I Want You",1976
"Friday Apr 18, 2025 4:00 AM","Massive Attack","Mezzanine",1998
"Saturday Apr 19, 2025 12:00 AM","Wes Montgomery","The Incredible Jazz Guitar of Wes Montgomery",1960
"Saturday Apr 19, 2025 1:00 AM","Olivia Rodrigo","Guts",2023
"Saturday Apr 19, 2025 2:30 AM","Daft Punk","Discovery",2001
"Saturday Apr 19, 2025 4:00 AM","LCD Soundsystem","Sound of Silver",2007
"Saturday Apr 19, 2025 10:30 PM","The Doors","The Doors",1967
"Sunday Apr 20, 2025 12:00 AM","My Bloody Valentine","Loveless",1991
"Sunday Apr 20, 2025 1:00 AM","The Verve","A Storm In Heaven",1993
"Sunday Apr 20, 2025 2:30 AM","J. Dilla","The Diary of J. Dilla",2016
"Sunday Apr 20, 2025 4:00 AM","Tame Impala","Lonerism",2012
"Wednesday Apr 23, 2025 1:00 AM","Joni Mitchell","Blue",1971
"Wednesday Apr 23, 2025 3:00 AM","Brandi Carlile","Give Up The Ghost",2009
"Thursday Apr 24, 2025 1:00 AM","Gustav Mahler, Berlin Philharmonic, Herbert von Karajan","Symphony No. 5",2025
"Thursday Apr 24, 2025 3:00 AM","Nick Cave and the Bad Seeds","Abattoir Blues/The Lyre of Orpheus",2004
"Friday Apr 25, 2025 1:00 AM","Sade","Promise",1985
"Friday Apr 25, 2025 2:30 AM","SZA","CTRL",2017
"Friday Apr 25, 2025 4:00 AM","Dan the Automator, Del the Funky Homosapien & Kid Koala","Deltron 3030",2000
"Saturday Apr 26, 2025 12:00 AM","Sam Cooke","One Night Stand! Live at the Harlem Square Club",1963
"Saturday Apr 26, 2025 1:00 AM","Kendrick Lamar","GNX",2025
"Saturday Apr 26, 2025 2:30 AM","Fleetwood Mac","Rumours",1977
"Saturday Apr 26, 2025 4:00 AM","D'Angelo","Voodoo",2000
"Sunday Apr 27, 2025 12:00 AM","Rihanna, Tems et al.","Black Panther: Wakanda Forever Original Motion Picture Soundtrack",2022
"Sunday Apr 27, 2025 1:00 AM","Digable Planets","Blowout Comb",1994
"Sunday Apr 27, 2025 2:30 AM","De La Soul","Stakes Is High",1996
"Sunday Apr 27, 2025 4:00 AM","Lauryn Hill","The Miseducation of Lauryn Hill",1998
"Wednesday Apr 30, 2025 1:00 AM","Ella Fitzgerald and Louis Armstrong","Ella and Louis",1956
"Wednesday Apr 30, 2025 3:00 AM","Tom Petty","Full Moon Fever",1989
"Thursday May 1, 2025 1:00 AM","Pink Floyd","Dark Side of the Moon",1973
"Thursday May 1, 2025 2:30 AM","Daft Punk","Random Access Memories",2013
