date,artist,album,year
2025-03-01,Led Zeppelin,An Introduction to Led Zepplin,0000
2025-03-04,The Wild Tchoupitoulas,The Wild Tchoupitoulas,0000
"Wednesday Mar 5, 2025 2:00 AM","The Wild Tchoupitoulas","The Wild Tchoupitoulas LP",1976
"Wednesday Mar 5, 2025 4:00 AM","Professor Longhair","Rock N Roll Gumbo LP",1976
"Thursday Mar 6, 2025 2:00 AM","Joni Mitchell","Blue LP",1971
"Thursday Mar 6, 2025 4:00 AM","Brandi Carlile","Give Up The Ghost LP",2009
"Friday Mar 7, 2025 2:00 AM","Jamiroquai","The Return of the Space Cowboy",1994
"Friday Mar 7, 2025 3:30 AM","Massive Attack","Blue Lines",1991
"Friday Mar 7, 2025 5:00 AM","Beastie Boys","Check Your Head",1992
"Saturday Mar 8, 2025 1:00 AM","Herb Alpert and the Tijuana Brass","Whipped Cream and Other Delights",1965
"Saturday Mar 8, 2025 2:00 AM","Otis Redding","The Dock of the Bay",1967
"Saturday Mar 8, 2025 3:30 AM","Lana Del Rey","Ultraviolence",2014
"Saturday Mar 8, 2025 5:00 AM","Solange","A Seat at the Table",2016
"Saturday Mar 8, 2025 8:30 PM","Vangelis","Blade Runner, Original Motion Picture Soundtrack",1994
"Saturday Mar 8, 2025 10:00 PM","Andrew Lloyd Webber","Phantom of the Opera",1987
"Saturday Mar 8, 2025 11:30 PM","Alain Goraguer","La Planète Sauvage",1973
"Sunday Mar 9, 2025 1:00 AM","Clairo","Charm",2024
"Sunday Mar 9, 2025 2:00 AM","Doechii","Alligator Bites Never Heal",2024
"Sunday Mar 9, 2025 3:30 AM","Chappell Roan","The Rise and Fall of A Midwestern Princess",2024
"Sunday Mar 9, 2025 5:00 AM","Beyoncé","Cowboy Carter",2024
"Wednesday Mar 12, 2025 1:00 AM","Bob Dylan","1966 Royal Festival Hall",2006
"Wednesday Mar 12, 2025 3:00 AM","Mad Season","Mad Season",1995
"Thursday Mar 13, 2025 1:00 AM","Víkingur Ólafsson","Goldberg Variations",2024
"Thursday Mar 13, 2025 3:00 AM","Radiohead","A Moon Shaped Pool",2016
"Friday Mar 14, 2025 12:00 AM","David Bowie","Alladin Sane",1973
"Friday Mar 14, 2025 1:00 AM","Smashing Pumpkins","Siamese Dream",1993
"Friday Mar 14, 2025 2:30 AM","LCD Soundsystem","Sound of Silver",2007
"Friday Mar 14, 2025 4:00 AM","Daft Punk","Discovery",2001
"Saturday Mar 15, 2025 12:00 AM","Carole King","Tapestry",1971
"Saturday Mar 15, 2025 1:00 AM","Roberta Flack","Killing Me Softly",1973
"Saturday Mar 15, 2025 2:30 AM","Frank Ocean","Channel Orange",2012
"Saturday Mar 15, 2025 4:00 AM","TLC","Crazy, Sexy, Cool",1994
"Saturday Mar 15, 2025 7:30 PM","Alice Coltrane","Journey in Satchidananda",1971
"Saturday Mar 15, 2025 9:00 PM","Heart","Dreamboat Annie",1976
"Saturday Mar 15, 2025 10:30 PM","Tracy Chapman","Tracy Chapman",1988
"Sunday Mar 16, 2025 12:00 AM","Etta James","Tell Mama",1968
"Sunday Mar 16, 2025 4:00 AM","Massive Attack","Mezzanine",1998
"Wednesday Mar 19, 2025 1:00 AM","Neil Young","Harvest",1972
"Wednesday Mar 19, 2025 3:00 AM","Autechre","Amber",1994
"Thursday Mar 20, 2025 1:00 AM","Pink Floyd","Atom Heart Mother",1970
"Thursday Mar 20, 2025 2:30 AM","Pink Floyd","Dark Side of the Moon",1973
"Friday Mar 21, 2025 1:00 AM","Buena Vista Social Club","Buena Vista Social Club",1997
"Friday Mar 21, 2025 2:30 AM","Björk","Debut",1993
"Friday Mar 21, 2025 4:00 AM","D'Angelo","Voodoo",2000
"Saturday Mar 22, 2025 12:00 AM","Steely Dan","Aja",1977
"Saturday Mar 22, 2025 1:00 AM","Stevie Wonder","Talking Book",1972
"Saturday Mar 22, 2025 4:00 AM","The Cure","Kiss Me Kiss Me Kiss Me",1987
"Saturday Mar 22, 2025 7:30 PM","Prince","Dirty Mind",1980
"Saturday Mar 22, 2025 9:00 PM","Prince","1999",1982
"Saturday Mar 22, 2025 10:30 PM","Prince and the Revolution","Purple Rain",1984
"Sunday Mar 23, 2025 12:00 AM","Prince and the Revolution","Parade",1986
"Sunday Mar 23, 2025 1:00 AM","Prince","Sign O' The Times",1987
"Sunday Mar 23, 2025 2:30 AM","Prince","The Black Album",1994
"Sunday Mar 23, 2025 4:00 AM","Daniel Caesar","Freudian",2017
"Wednesday Mar 26, 2025 1:00 AM","Sam Cooke","Night Beat LP",1963
"Wednesday Mar 26, 2025 3:00 AM","Daft Punk","Random Access Memories LP",2013
"Thursday Mar 27, 2025 1:00 AM","The National","High Violet LP",2010
"Friday Mar 28, 2025 1:00 AM","Fleetwood Mac","Rumours",1977
"Friday Mar 28, 2025 4:00 AM","Odesza","Summer's Gone",2012
"Saturday Mar 29, 2025 12:00 AM","Billie Holiday","Body and Soul",1949
"Saturday Mar 29, 2025 1:00 AM","Nina Simone","Sings the Blues",1967
"Saturday Mar 29, 2025 2:30 AM","Kendrick Lamar","GNX",2025
"Saturday Mar 29, 2025 4:00 AM","Tame Impala","Lonerism",2012
"Saturday Mar 29, 2025 7:30 PM","Floating Points, Pharoah Sanders, London Symphony Orchestra","Promises",2021
"Saturday Mar 29, 2025 9:00 PM","Boards of Canada","Music Has The Right To No Children",1998
"Saturday Mar 29, 2025 10:30 PM","Thelonious Monk","Monk's Dream",1963
"Sunday Mar 30, 2025 12:00 AM","Love","Forever Changes",1967
"Sunday Mar 30, 2025 1:00 AM","Pharcyde","Bizarre Ride II",1992
"Sunday Mar 30, 2025 2:30 AM","Childish Gambino","Awaken, My Love",2016
"Sunday Mar 30, 2025 4:00 AM","Lauryn Hill","The Miseducation of Lauryn Hill",1998
